datetime,unrealized_pnl,realized_pnl,total_pnl,market_value,daily_pnl
2021-03-10 00:00:00,0.0000,0.0000,0.0000,100000.0000,0.0000
2021-03-11 00:00:00,1040.0000,0.0000,1040.0000,101040.0000,1040.0000
2021-03-12 00:00:00,4720.0000,0.0000,4720.0000,104720.0000,3680.0000
2021-03-13 00:00:00,3670.0000,0.0000,3670.0000,103670.0000,-1050.0000
2021-03-14 00:00:00,11190.0000,0.0000,11190.0000,111190.0000,7520.0000
2021-03-15 00:00:00,6830.0000,0.0000,6830.0000,106830.0000,-4360.0000
2021-03-16 00:00:00,30.0000,0.0000,30.0000,100030.0000,-6800.0000
2021-03-17 00:00:00,2770.0000,0.0000,2770.0000,102770.0000,2740.0000
2021-03-18 00:00:00,7090.0000,0.0000,7090.0000,107090.0000,4320.0000
2021-03-19 00:00:00,4150.0000,0.0000,4150.0000,104150.0000,-2940.0000
2021-03-20 00:00:00,5120.0000,0.0000,5120.0000,105120.0000,970.0000
2021-03-21 00:00:00,5220.0000,0.0000,5220.0000,105220.0000,100.0000
2021-03-22 00:00:00,3520.0000,0.0000,3520.0000,103520.0000,-1700.0000
2021-03-23 00:00:00,100.0000,0.0000,100.0000,100100.0000,-3420.0000
2021-03-24 00:00:00,280.0000,0.0000,280.0000,100280.0000,180.0000
2021-03-25 00:00:00,-1530.0000,0.0000,-1530.0000,98470.0000,-1810.0000
2021-03-26 00:00:00,-2380.0000,0.0000,-2380.0000,97620.0000,-850.0000
2021-03-27 00:00:00,620.0000,0.0000,620.0000,100620.0000,3000.0000
2021-03-28 00:00:00,1130.0000,0.0000,1130.0000,101130.0000,510.0000
2021-03-28 23:00:00,1000.0000,0.0000,1000.0000,101000.0000,-130.0000
2021-03-30 00:00:00,2300.0000,0.0000,2300.0000,102300.0000,1300.0000
2021-03-31 00:00:00,3150.0000,0.0000,3150.0000,103150.0000,850.0000
2021-04-01 00:00:00,3300.0000,0.0000,3300.0000,103300.0000,150.0000
2021-04-02 00:00:00,3430.0000,0.0000,3430.0000,103430.0000,130.0000
2021-04-03 00:00:00,3640.0000,0.0000,3640.0000,103640.0000,210.0000
2021-04-04 00:00:00,3070.0000,0.0000,3070.0000,103070.0000,-570.0000
2021-04-05 00:00:00,3380.0000,0.0000,3380.0000,103380.0000,310.0000
2021-04-06 00:00:00,3560.0000,0.0000,3560.0000,103560.0000,180.0000
2021-04-07 00:00:00,3680.0000,0.0000,3680.0000,103680.0000,120.0000
2021-04-08 00:00:00,3380.0000,0.0000,3380.0000,103380.0000,-300.0000
2021-04-09 00:00:00,3610.0000,0.0000,3610.0000,103610.0000,230.0000
2021-04-10 00:00:00,3680.0000,0.0000,3680.0000,103680.0000,70.0000
2021-04-11 00:00:00,3760.0000,0.0000,3760.0000,103760.0000,80.0000
