datetime,pps,cum_pnl_rate,daily_pnl_rate
2021-05-08 00:00:00,0.8952,0.0000,0.0000
2021-05-09 00:00:00,0.9051,0.0111,0.0111
2021-05-10 00:00:00,0.9020,0.0076,-0.0034
2021-05-11 00:00:00,0.8854,-0.0109,-0.0184
2021-05-12 00:00:00,0.8916,-0.0040,0.0070
2021-05-13 00:00:00,0.8388,-0.0630,-0.0592
2021-05-14 00:00:00,0.8198,-0.0842,-0.0227
2021-05-15 00:00:00,0.8194,-0.0847,-0.0005
2021-05-16 00:00:00,0.8281,-0.0750,0.0106
2021-05-17 00:00:00,0.8300,-0.0728,0.0023
2021-05-18 00:00:00,0.8402,-0.0614,0.0123
2021-05-19 00:00:00,0.8414,-0.0601,0.0014
2021-05-20 00:00:00,0.7721,-0.1375,-0.0824
2021-05-21 00:00:00,0.7565,-0.1549,-0.0202
2021-05-22 00:00:00,0.7693,-0.1406,0.0169
2021-05-23 00:00:00,0.7682,-0.1419,-0.0014
2021-05-24 00:00:00,0.7815,-0.1270,0.0173
2021-05-25 00:00:00,0.7606,-0.1504,-0.0267
2021-05-26 00:00:00,0.7621,-0.1487,0.0020
2021-05-27 00:00:00,0.7567,-0.1547,-0.0071
2021-05-28 00:00:00,0.7622,-0.1486,0.0073
2021-05-29 00:00:00,0.7797,-0.1290,0.0230
2021-05-30 00:00:00,0.7735,-0.1359,-0.0080
2021-05-31 00:00:00,0.8590,-0.0404,0.1105
2021-06-01 00:00:00,0.7882,-0.1195,-0.0824
2021-06-02 00:00:00,0.7855,-0.1225,-0.0034
2021-06-03 00:00:00,0.7898,-0.1177,0.0055
2021-06-04 00:00:00,0.8009,-0.1053,0.0141
2021-06-05 00:00:00,0.7841,-0.1241,-0.0210
2021-06-06 00:00:00,0.7742,-0.1352,-0.0126
