datetime,pps,cum_pnl_rate,daily_pnl_rate
2021-03-26 00:00:00,0.9762,0.0000,0.0000
2021-03-27 00:00:00,1.0062,0.0307,0.0307
2021-03-28 00:00:00,1.0113,0.0360,0.0051
2021-03-28 23:00:00,1.0100,0.0346,-0.0013
2021-03-30 00:00:00,1.0230,0.0479,0.0129
2021-03-31 00:00:00,1.0315,0.0566,0.0083
2021-04-01 00:00:00,1.0330,0.0582,0.0015
2021-04-02 00:00:00,1.0343,0.0595,0.0013
2021-04-03 00:00:00,1.0364,0.0617,0.0020
2021-04-04 00:00:00,1.0307,0.0558,-0.0055
2021-04-05 00:00:00,1.0338,0.0590,0.0030
2021-04-06 00:00:00,1.0356,0.0608,0.0017
2021-04-07 00:00:00,1.0368,0.0621,0.0012
2021-04-08 00:00:00,1.0338,0.0590,-0.0029
2021-04-09 00:00:00,1.0361,0.0614,0.0022
2021-04-10 00:00:00,1.0368,0.0621,0.0007
2021-04-11 00:00:00,1.0376,0.0629,0.0008
2021-04-12 00:00:00,1.0390,0.0643,0.0013
2021-04-13 00:00:00,1.0416,0.0670,0.0025
2021-04-14 00:00:00,1.0380,0.0633,-0.0035
2021-04-15 00:00:00,1.0271,0.0521,-0.0105
2021-04-16 00:00:00,1.0313,0.0564,0.0041
2021-04-17 00:00:00,1.0004,0.0248,-0.0300
2021-04-18 00:00:00,0.9762,0.0000,-0.0242
2021-04-19 00:00:00,0.9072,-0.0707,-0.0707
2021-04-20 00:00:00,0.8994,-0.0787,-0.0086
2021-04-21 00:00:00,0.9062,-0.0717,0.0076
2021-04-22 00:00:00,0.8837,-0.0948,-0.0248
2021-04-23 00:00:00,0.8680,-0.1108,-0.0178
2021-04-24 00:00:00,0.8643,-0.1146,-0.0043
2021-04-25 00:00:00,0.8567,-0.1224,-0.0088
2021-04-26 00:00:00,0.8506,-0.1287,-0.0071
2021-04-27 00:00:00,0.8789,-0.0997,0.0333
2021-04-28 00:00:00,0.8840,-0.0944,0.0058
2021-04-29 00:00:00,0.8834,-0.0951,-0.0007
2021-04-30 00:00:00,0.8781,-0.1005,-0.0060
2021-05-01 00:00:00,0.8928,-0.0854,0.0167
2021-05-02 00:00:00,0.8926,-0.0856,-0.0002
2021-05-03 00:00:00,0.8900,-0.0883,-0.0029
2021-05-04 00:00:00,0.8930,-0.0852,0.0034
2021-05-05 00:00:00,0.8717,-0.1070,-0.0239
2021-05-06 00:00:00,0.8947,-0.0835,0.0264
2021-05-07 00:00:00,0.8899,-0.0884,-0.0054
2021-05-08 00:00:00,0.8952,-0.0830,0.0060
2021-05-09 00:00:00,0.9051,-0.0728,0.0111
2021-05-10 00:00:00,0.9020,-0.0760,-0.0034
2021-05-11 00:00:00,0.8854,-0.0930,-0.0184
2021-05-12 00:00:00,0.8916,-0.0867,0.0070
2021-05-13 00:00:00,0.8388,-0.1407,-0.0592
2021-05-14 00:00:00,0.8198,-0.1602,-0.0227
2021-05-15 00:00:00,0.8194,-0.1606,-0.0005
2021-05-16 00:00:00,0.8281,-0.1517,0.0106
2021-05-17 00:00:00,0.8300,-0.1498,0.0023
2021-05-18 00:00:00,0.8402,-0.1393,0.0123
2021-05-19 00:00:00,0.8414,-0.1381,0.0014
2021-05-20 00:00:00,0.7721,-0.2091,-0.0824
2021-05-21 00:00:00,0.7565,-0.2251,-0.0202
2021-05-22 00:00:00,0.7693,-0.2119,0.0169
2021-05-23 00:00:00,0.7682,-0.2131,-0.0014
2021-05-24 00:00:00,0.7815,-0.1994,0.0173
2021-05-25 00:00:00,0.7606,-0.2209,-0.0267
2021-05-26 00:00:00,0.7621,-0.2193,0.0020
2021-05-27 00:00:00,0.7567,-0.2249,-0.0071
2021-05-28 00:00:00,0.7622,-0.2192,0.0073
2021-05-29 00:00:00,0.7797,-0.2013,0.0230
2021-05-30 00:00:00,0.7735,-0.2076,-0.0080
2021-05-31 00:00:00,0.8590,-0.1201,0.1105
2021-06-01 00:00:00,0.7882,-0.1926,-0.0824
2021-06-02 00:00:00,0.7855,-0.1953,-0.0034
2021-06-03 00:00:00,0.7898,-0.1909,0.0055
2021-06-04 00:00:00,0.8009,-0.1796,0.0141
2021-06-05 00:00:00,0.7841,-0.1968,-0.0210
2021-06-06 00:00:00,0.7742,-0.2069,-0.0126
2021-06-07 00:00:00,0.7763,-0.2048,0.0027
2021-06-08 00:00:00,0.7581,-0.2234,-0.0234
2021-06-09 00:00:00,0.7573,-0.2242,-0.0011
2021-06-10 00:00:00,0.7919,-0.1888,0.0457
2021-06-11 00:00:00,0.7856,-0.1952,-0.0080
2021-06-12 00:00:00,0.7916,-0.1891,0.0076
2021-06-13 00:00:00,0.7738,-0.2073,-0.0225
2021-06-14 00:00:00,0.8094,-0.1709,0.0460
2021-06-15 00:00:00,0.8250,-0.1549,0.0193
2021-06-16 00:00:00,0.8211,-0.1589,-0.0047
2021-06-17 00:00:00,0.8009,-0.1796,-0.0246
2021-06-18 00:00:00,0.7980,-0.1825,-0.0036
2021-06-19 00:00:00,0.7710,-0.2102,-0.0338
2021-06-20 00:00:00,0.7665,-0.2148,-0.0058
2021-06-21 00:00:00,0.7674,-0.2139,0.0012
2021-06-22 00:00:00,0.7162,-0.2663,-0.0667
2021-06-23 00:00:00,0.7283,-0.2539,0.0169
